standard_code,gender,age_min,age_max,ref_min,ref_max,unit,notes
030101,all,0,150,3.5,9.5,10^9/L,
030102,all,0,150,3.8,5.1,10^12/L,
030103,all,0,150,115.0,150.0,g/L,
030104,all,0,150,35.0,45.0,%,
030105,all,0,150,125.0,350.0,10^9/L,
030106,all,0,150,0.108,0.282,%,
030107,all,0,150,80.0,100.0,fL,
030108,all,0,150,27.0,34.0,pg,
030109,all,0,150,316.0,354.0,g/L,
030110,all,0,150,11.0,15.0,%,
030111,all,0,150,7.8,12.5,fL,
030112,all,0,150,9.0,17.0,fL,
030113,all,0,150,20.0,50.0,%,
030115,all,0,150,40.0,75.0,%,
030116,all,0,150,1.1,3.2,10^9/L,
030118,all,0,150,1.8,6.3,10^9/L,
030123,all,0,150,0.1,0.6,10^9/L,
030124,all,0,150,3.0,10.0,%,
030125,all,0,150,0.02,0.52,10^9/L,
030126,all,0,150,0.0,0.06,10^9/L,
030127,all,0,150,0.4,8.0,%,
030128,all,0,150,0.0,1.0,%,
030133,all,0,150,39.0,46.0,fL,
030136,all,0,150,13.0,43.0,%,
030201,all,0,150,5.0,8.0,,
030202,all,0,150,,,,-
030205,all,0,150,1.01,1.03,,
030207,all,0,150,,,,-
030208,all,0,150,,,,-
030209,all,0,150,,,,normal
030210,all,0,150,,,,-
030212,all,0,150,,,,淡黄色
030213,all,0,150,,,,normal
030216,all,0,150,,25.0,/μL,<25
030217,all,0,150,,1.0,/μl,<1
030221,all,0,150,,31.0,/μl,<31
030223,all,0,150,,,,normal
030224,all,0,150,,23.0,/μl,<23
030229,all,0,150,,,,-
030232,all,0,150,468.0,934.0,mOsm/kg,
030240,all,0,150,,,,-
030302,all,0,150,0.0,5.0,%,
030307,all,0,150,3.4,,ng/ml,≥3.40
030350,all,0,150,,,,-
030403,all,0,150,,,,无
030404,all,0,150,,,/LP,阴性（-）
030406,all,0,150,0.0,2.0,/HP,
030407,all,0,150,0.0,1.0,/HP,
030409,all,0,150,,,/LP,未见
030410,all,0,150,,,/LP,未见
030411,all,0,150,,,/LP,未见
030412,all,0,150,,,/LP,未见
030413,all,0,150,,,/LP,未见
030414,all,0,150,,,/LP,未见
030415,all,0,150,,,/LP,未见
030416,all,0,150,,,/LP,未见
030417,all,0,150,,,/LP,未见
030418,all,0,150,,,/LP,未见
030419,all,0,150,,,/LP,未见
030420,all,0,150,,,/LP,未见
030421,all,0,150,,,/LP,未见
030422,all,0,150,,,/LP,未见
030426,all,0,150,0.0,100.0,ng/mL,
030701,all,0,150,0.7,4.0,g/L,
030702,all,0,150,7.0,16.0,g/L,
030703,all,0,150,0.4,2.3,g/L,
030704,all,0,150,0.0,100.0,IU/mL,
030803,all,0,150,373.5,557.2,mg/L,
030804,all,0,150,6.6,21.6,,
030821,all,0,150,46.0,84.0,mg/L,
030822,all,0,150,26.4,50.4,mg/L,
030823,all,0,150,800.0,1290.0,μg/L,
030824,all,0,150,3.7,7.3,mg/L,
030825,all,0,150,0.0,100.0,μg/L,
040103,all,0,150,3.9,6.1,mmol/L,
040104,all,0,150,0.0,1.0,,
040201,all,0,150,0.0,5.2,mmol/L,
040202,all,0,150,0.0,1.7,mmol/L,
040203,all,0,150,1.0,1.7,mmol/L,
040204,all,0,150,1.77,3.4,mmol/L,
040205,all,0,150,1.2,1.6,g/L,
040206,all,0,150,0.68,1.12,g/L,
040207,all,0,150,0.0,75.0,nmol/L,
040208,all,0,150,0.0,4.0,,
040209,all,0,150,,,mmol/L,"低中危人群应<4.15；
高危人群应<3.37
；极高危人群应<2.59；
超高危人群应<2.20。"
040211,all,0,150,,,mmol/L,用于心脏康复项目评估
040212,all,0,150,,,mmol/L,＜1.98 （餐后）
040213,all,0,150,,,mmol/L,用于心脏康复项目评估
040214,all,0,150,,,mmol/L,用于心脏康复项目评估
040216,all,0,150,,,g/L,用于心脏康复项目评估
040217,all,0,150,,,nmol/L,用于心脏康复项目评估
040218,all,0,150,,,g/L,用于心脏康复项目评估
040301,all,0,150,3.5,5.3,mmol/L,
040302,all,0,150,136.0,145.0,mmol/L,
040303,all,0,150,98.0,107.0,mmol/L,
040304,all,0,150,2.11,2.52,mmol/L,
040310,all,0,150,0.81,1.45,mmol/L,
040311,all,0,150,0.66,1.07,mmol/L,
040401,all,0,150,2.6,7.5,mmol/L,
040402,all,0,150,41.0,73.0,μmol/L,
040403,all,0,150,155.0,357.0,μmol/L,
040405,all,0,150,0.61,0.95,mg/L,
040407,all,0,150,90.0,,,≥90.00
040501,all,0,150,7.0,40.0,U/L,
040502,all,0,150,13.0,45.0,U/L,
040504,all,0,150,0.0,21.0,μmol/L,
040505,all,0,150,0.0,8.0,μmol/L,
040506,all,0,150,0.0,17.3,μmol/L,
040507,all,0,150,65.0,85.0,g/L,
040508,all,0,150,40.0,55.0,g/L,
040509,all,0,150,1.2,2.4,,
040510,all,0,150,20.0,40.0,g/L,
040514,all,0,150,5320.0,12920.0,U/L,
040517,all,0,150,,,%,"4.0-5.6（IFG<6.1mmol/L, 5.7≤HbA1c<6.5% 考虑糖尿病前期）"
040519,all,0,150,,,μmol/L,≤286.0
040699,all,0,150,7.0,45.0,U/L,
040701,all,0,150,40.0,129.0,U/L,
040702,all,0,150,0.0,5.8,IU/mL,
040711,all,0,150,0.0,2.0,,
040717,all,0,150,22.0,29.0,,
040723,all,0,150,0.0,100.0,U/L,
040724,all,0,150,75.0,125.0,%,
040725,all,0,150,22.6,32.1,s,
040726,all,0,150,9.0,14.0,s,
040727,all,0,150,2.0,4.0,g/L,
040728,all,0,150,14.0,21.0,s,
040729,all,0,150,70.0,130.0,%,
040730,all,0,150,0.8,1.24,,
040750,all,0,150,,400.0,Copies/mL,< 400
040902,all,0,150,50.0,310.0,U/L,
040903,all,0,150,0.0,25.0,U/L,
040909,all,0,150,0.0,3.61,ng/ml,
041002,all,0,150,,1.0,S/CO,"<1(美国CDC推荐:S/CO>5.0时,未经RIBA实验验证的Anti-HCV真阳性的可能性为95%)"
04209,all,0,150,1.0,,,>1.00
050101,all,0,150,,0.05,IU/mL,<0.05
050102,all,0,150,,10.0,mIU/mL,<10.0
050103,all,0,150,1.0,,S/CO,>1.0
050104,all,0,150,,1.0,S/CO,<1.0
050105,all,0,150,,1.0,S/CO,<1.0
050108,all,0,150,,1.0,COI,<1.0
050109,all,0,150,,,IU/mL,检测最低下限为10IU/mL
050201,all,0,150,,0.05,COI,<0.05
050202,all,0,150,,10.0,U/L,<10
050203,all,0,150,1.0,,COI,>1.0
050204,all,0,150,,1.0,COI,<1.0
050208,all,0,150,,1.0,COI,<1.0
050603,all,0,150,0.27,4.2,μIU/mL,
050703,all,0,150,12.0,22.0,pmol/L,
050704,all,0,150,,,μg/mL,男或非孕女性：13.00-39.00；妊娠末三个月女：47.00-59.00；妊娠女：27.00-66.00
050801,all,0,150,0.0,20.0,IU/mL,
050803,all,0,150,0.0,200.0,IU/mL,
050804,all,0,150,0.0,5.0,U/mL,
050805,all,0,150,,5.0,mg/L,<5
050806,all,0,150,0.0,2.7,ng/mL,
050807,all,0,150,,,ng/mL,"0.00-4.00(4-10参看fPSA/tPSA,>10前列腺癌风险高)"
050810,all,0,150,4.79,23.3,ng/mL,
050811,all,0,150,0.084,0.481,ng/mL,
050812,all,0,150,,,ng/mL,卵泡期:＜0.05-0.193；排卵期：0.055-4.14；黄体期:4.11-14.5；妊娠早期:11.0-44.3；妊娠中期:25.4-83.3；妊娠晚期:58.7-214.0；绝经期后:<0.05-0.126
050813,all,0,150,,,pg/mL,卵泡期:30.9-90.4；排卵期:60.4-533.0；黄体期:60.4-232.0；绝经期:＜5.0-138.0
050814,all,0,150,,,mIU/mL,卵泡期:2.4-12.6；排卵期:14.00-95.6；黄体期:1.00-11.40；绝经期:7.70-58.50
050815,all,0,150,,,mIU/mL,卵泡期:3.5-12.5;排卵期:4.7-21.5;黄体期:1.7-7.7;绝经期:25.8-134.8
050816,all,0,150,26.5,253.3,μg/dL,
050903,all,0,150,0.0,6.5,ng/mL,
050905,all,0,150,,,ng/mL,用于计算fPSA/tPSA
0509806,all,0,150,,,,tPSA在4-10之间时，≤0.25前列腺癌风险高，>0.25前列腺增生风险高。检测用于评估是否需要前列腺活检的建议。
051001,all,0,150,0.0,34.0,U/mL,
051002,all,0,150,0.0,35.0,U/mL,
051003,all,0,150,0.0,25.0,U/mL,
051004,all,0,150,0.0,10.0,U/mL,
051005,all,0,150,0.0,6.9,U/mL,
051006,all,0,150,0.0,16.3,ng/mL,
051406,all,0,150,0.0,15.0,μmol/L,
051407,all,0,150,0.0,5.0,mg/L,
051408,all,0,150,120.0,250.0,U/L,
051409,all,0,150,72.0,182.0,U/L,
051410,all,0,150,40.0,200.0,U/L,
051411,all,0,150,0.0,25.0,U/L,
051412,all,0,150,0.0,106.0,ng/mL,
051413,all,0,150,,,ng/mL,"0.000-0.014（≤0.014 健康参考值 ； 
0.015-0.052 心肌损伤 ； 
＞0.052 心梗高风险 ）"
051414,all,0,150,0.0,125.0,pg/mL,
051415,all,0,150,3.1,20.5,ng/mL,
051416,all,0,150,187.0,883.0,pg/mL,
051417,all,0,150,30.1,100.0,ng/ml,
051419,all,0,150,,1.0,S/CO,<1.0(灰区0.9-1.2；阳性≥1)
051421,all,0,150,1.0,7.8,pmol/L,
051422,all,0,150,,1.0,U/L,<1
051423,all,0,150,,,ng/mL,PGⅠ<40 ng/mL时可疑阳性，其它结果请结合PGⅠ/PGⅡ比值。
051424,all,0,150,,,ng/mL,用于计算PG Ⅰ/Ⅱ
051425,all,0,150,,1.0,,<1.0
051426,all,0,150,32.11,68.96,pmol/L,
051427,all,0,150,0.0,0.105,ug/L,
051428,all,0,150,0.0,3.3,ng/mL,
051429,all,0,150,0.0,69.2,pg/mL,
051430,all,0,150,0.0,175.0,ng/mL,
051432,all,0,150,,,ng/ml,女||35岁-39岁||0.33-7.21
051433,all,0,150,,,AU/mL,阴性||<10.00 灰区||10.00-14.00 阳性||≥14.00
051434,all,0,150,,,AU/mL,阴性:＜0.7；不确定：≥0.7-＜1.0；阳性：≥1.0 。
051441,all,0,150,,,mIU/mL,非孕女性:0-5
051442,all,0,150,85.0,230.0,ng/ml,
051446,all,0,150,0.0,11.4,%,
051447,all,0,150,0.0,29.9,%,
051451,all,0,150,1.0,10.0,ng/ml,
051452,all,0,150,3.8,39.7,ng/ml,
051453,all,0,150,5.2,72.1,ng/ml,
051457,all,0,150,12.9,253.1,ng/ml,
051459,all,0,150,4.0,,ng/ml,>4
051554,all,0,150,,,,阴性（-）
051555,all,0,150,,,,阴性(-)
051556,all,0,150,,,,阴性（-）
051557,all,0,150,,,,阴性（-）
051558,all,0,150,,,,阴性（-）
051568,all,0,150,,,,阴性（-）
051569,all,0,150,,,,阴性（-）
051570,all,0,150,,,,阴性（-）
051571,all,0,150,,,,阴性（-）
051572,all,0,150,,,,阴性（-）
051573,all,0,150,,,,阴性（-）
051574,all,0,150,,,,阴性（-）
051575,all,0,150,,,,阴性（-）
051576,all,0,150,,,,阴性（-）
051578,all,0,150,,,,阴性（-）
051579,all,0,150,,,,阴性（-）
051580,all,0,150,,,,阴性（-）
051581,all,0,150,,,,阴性（-）
051595,all,0,150,,160.0,pg/mL,<160.00
051596,all,0,150,,,ng/L,≤60.00
051601,all,0,150,,,%,成人||50-84
051602,all,0,150,,,%,成人||27-51
051603,all,0,150,,,%,成人||15-44
051604,all,0,150,,,,成人||0.71-2.78
051605,all,0,150,,,个/uL,成人||955-2860
051606,all,0,150,,,个/uL,成人||550-1440
051607,all,0,150,,,个/uL,成人||320-1250
051608,all,0,150,90.0,560.0,个/μl,
051609,all,0,150,150.0,1100.0,个/μl,
051610,all,0,150,7.0,40.0,%,
051611,all,0,150,5.0,18.0,%,
051612,all,0,150,0.0,4.34,pg/ml,
051613,all,0,150,0.0,3.87,pg/ml,
051614,all,0,150,0.0,2.9,pg/ml,
051615,all,0,150,0.0,5.04,pg/ml,
051616,all,0,150,0.0,5.0,pg/ml,
051617,all,0,150,0.0,4.41,pg/ml,
051801,all,0,150,0.3,2.0,ng/mL,
051802,all,0,150,0.33,2.48,ng/mL,
051803,all,0,150,0.31,4.55,ng/mL,
051804,all,0,150,,,ng/ml,≤0.30
051805,all,0,150,0.53,15.6,ng/mL,
051806,all,0,150,2.0,8.7,ng/ml,
051807,all,0,150,43.0,221.0,,
051808,all,0,150,,,ng/mL,绝经前：17-200；绝经后：7-40
051809,all,0,150,0.15,2.9,Pg/mL,
051810,all,0,150,,,,≤0.21（上午）
051821,all,0,150,,,ng/ml,上午:50.00-250.00;下午:20.00-140.00
060107,all,0,150,0.0,20.0,mm/h,
060108,all,0,150,35.0,45.0,%,
060109,all,0,150,2.13,3.69,,
060110,all,0,150,10.62,16.94,,
060111,all,0,150,0.0,73.76,,
060112,all,0,150,3.79,6.05,,
060113,all,0,150,32.59,50.23,mPa.s,
060114,all,0,150,3.82,8.48,mPa.s,
060115,all,0,150,0.53,1.02,,
060116,all,0,150,2.3,6.73,,
060118,all,0,150,40.0,49.0,%,
060119,all,0,150,17.63,21.35,mPa.s,
060120,all,0,150,7.95,9.95,mPa.s,
060121,all,0,150,4.66,5.98,mPa.s,
060122,all,0,150,3.53,4.65,mPa.s,
060123,all,0,150,1.26,1.66,mPa.s,
071431,all,0,150,,,,阴性（-）
071432,all,0,150,,,,阴性（-）
071439,all,0,150,,1.0,S/CO,<1.0
071441,all,0,150,,,,阴性
080801,all,0,150,,,,阴性（-）
080802,all,0,150,,,,阴性（-）
080803,all,0,150,,,,阴性（-）
080804,all,0,150,,,,阴性（-）
080805,all,0,150,,,,阴性（-）
080806,all,0,150,,,,阴性（-）
080807,all,0,150,,,,阴性（-）
080808,all,0,150,,,,阴性（-）
080809,all,0,150,,,,阴性（-）
080810,all,0,150,,,,阴性（-）
080904,all,0,150,1.5,6.8,ml,
080905,all,0,150,,,,液化
080906,all,0,150,7.2,,,≥7.2
080907,all,0,150,,60.0,分钟,<60
080909,all,0,150,,,,腥味
080910,all,0,150,,,cm,正常：粘液丝≤2cm；异常：粘液丝＞2cm
080915,all,0,150,15.0,,×10E6/ml,≥15
080917,all,0,150,40.0,,%,≥40
080918,all,0,150,32.0,,%,≥32
080939,all,0,150,4.0,,%,≥4
080941,all,0,150,40.0,,%,≥40
100353,all,0,150,0.0,125.0,pg/mL,
300003,all,0,150,,,,0级
300004,all,0,150,,,,0级
300005,all,0,150,,0.35,kUA/L,<0.35
300007,all,0,150,,,,0级
300009,all,0,150,,,,0级
300010,all,0,150,,0.35,kUA/L,<0.35
300016,all,0,150,,,,0级
300017,all,0,150,,0.35,kUA/L,<0.35
300018,all,0,150,,,,0级
300019,all,0,150,,0.35,kUA/L,<0.35
300020,all,0,150,,,,0级
300027,all,0,150,,0.35,kUA/L,<0.35
300034,all,0,150,,0.35,kUA/L,<0.35
300036,all,0,150,,0.35,kUA/L,<0.35
300037,all,0,150,,0.35,kUA/L,<0.35
300041,all,0,150,,0.35,kUA/L,<0.35
300049,all,0,150,,0.35,kUA/L,<0.35
300050,all,0,150,,,,0级
300051,all,0,150,,,,0级
300052,all,0,150,,,,0级
300053,all,0,150,,,,0级
300054,all,0,150,,,,0级
300055,all,0,150,,,,0级
300056,all,0,150,,,,0级
300057,all,0,150,,0.35,kUA/L,<0.35
300060,all,0,150,,0.35,kUA/L,<0.35
300061,all,0,150,,0.35,kUA/L,<0.35
300063,all,0,150,,0.35,kUA/L,<0.35
300080,all,0,150,,,,0级
300081,all,0,150,,,,0级
300082,all,0,150,,,,0级
300083,all,0,150,,,,0级
300084,all,0,150,,,,0级
300086,all,0,150,,,,0级
300090,all,0,150,,,,0级
300091,all,0,150,,,,0级
300092,all,0,150,,,,0级
300093,all,0,150,,,,0级
300094,all,0,150,,,,0级
300095,all,0,150,,,,0级
300096,all,0,150,,,,0级
300097,all,0,150,,,,0级
300098,all,0,150,,,,0级
300099,all,0,150,,,,0级
300100,all,0,150,,,,0级
300101,all,0,150,,,,0级
300102,all,0,150,,,,0级
300103,all,0,150,,,,0级
300104,all,0,150,,,,0级
300109,all,0,150,,,,0级
300110,all,0,150,,,,0级
300111,all,0,150,,,,0级
300112,all,0,150,,,,0级
300113,all,0,150,,,,0级
300114,all,0,150,,,,0级
